"ID"	"Nombre"	"Texto"	"Email"	"Web"	"Teléfono"	"Logo"	"Documento"	"Categoría"
1	"AOU / ARQUITECTURA Y ORDENACIÓN URBANA"	" Aportan, desde la experiencia de muchos años, además del aspecto técnico, el aspecto administrativo.
Ofrecen sus servicios, desde el simple proyecto hasta el llave en mano, incluyendo, si así se desea, la elección de gremios.
15% de descuento en los presupuestos.
Áreas de actuación:
·    Proyectos de rehabilitación: fachadas, cubiertas, mejoras de la envolvente térmica…
·    Proyectos de accesibilidad: portales ascensores…
·    Proyectos de decoración de locales.
·    Proyectos de reforma de viviendas.
·    Proyectos de nueva planta.
Su propuesta incluye todo tipo de trámites: obras, requerimientos, licencias, adecuaciones a normativa… Además de asesoramiento sobre acceso a ayudas y subvenciones vinculadas a la ejecución de las obras."		"www.aousl.com"	"948 21 13 75"	"logo_1.png"	"doc_1.pdf"	"ARQUITECTURA"
2	"BANKOA"	" Cuenta Comercio con las siguientes ventajas:
·         TPV (Terminal Punto de Venta): Tasa de descuento del 0,75% para los TPV de la Asociación. Instalación y mantenimiento gratuitos.
·         Servicio gratuito de seguros (seguro de atraco en establecimiento, seguro de atraco en transporte de fondos a Bankoa, seguro de Responsabilidad Civil).
·         La Cuenta Comercio es una cuenta remunerada al 0,75%, manteniendo un saldo medio de 3.000€. Sin comisiones de mantenimiento y administración. Servicio de domiciliaciones gratuito. 
Financiación a su medida en condiciones muy competitivas para todos sus proyectos profesionales y personales: Cuentas de Crédito, Préstamos Personales, Prestamos Hipotecarios, Leasing… 
Consulta el nuevo CRÉDITO HOGAR en condiciones muy ventajosas"			"948 21 14 43"			"FINANZACIÓN"
3	"CAJA RURAL DE NAVARRA"				"948 15 34 92."			"FINANZACIÓN"
4	"CATALANA OCCIDENTE"	"Seguro de Comercio: 40 % de descuento.
Seguro de Oficinas: 40 % de descuento.
Seguro de Hogar: 20% de descuento.
Seguro de automóvil: Máximo descuento según historia siniestral.
Seguro de Salud: 16% de descuento comercial, más 10% de descuento por matrimonio, más 3% de descuento por número de asegurados.
Seguro de Accidentes de Convenio: 20% de descuento.
Planes de pensiones.
Asesoramiento completo, personalizado, sin compromiso y en el propio comercio del asociado. "		"marta.iriarte@agentes.catalanaoccidente.com"	"649 339 673"			
5	"CHOFERT"	"El coste del servicio Chofert es el 20% del importe de los cupones vendidos (en vez del 30% habitual)."						"comercio online"
6	"ESTACIÓN DE SERVICIO LEZKAIRU – AVIA"	" Descuento exclusivo del 4% al usar la tarjeta Club AVIA. De este descuento:
·         Un 2% se acumula en forma de eurovales en la tarjeta, para luego poder redimirlos en forma de carburante, lavados o productos de la tienda de la estación de servicio.
·         Un 2% se descuenta en el momento del pago (este descuento es exclusivo para los asociados del Ensanche).
Adicionalmente, existe un 5% de descuento en los artículos de la tienda (excepto pan, periódicos, revistas y lavados). Resto de gasolineras AVIA: Se mantiene el 2% en carburante y el 5% en productos de tienda."						
7	"estudioVACA"	"Descuentos especiales para asociados en diseño de imagen corporativa, carteles, packaging, marketing directo, publicidad, web…"	"info@estudiovaca.com"	"www.estudiovaca.com"	"848 41 24 46    "			"DISEÑO Y COMUNICACIÓN"
8	"GESWATT S.L."	"Estudio sin coste de los contratos eléctricos. 
Revisión y seguimiento sin costes de las facturas.
Negociación sin costes del mejor proveedor de energía. 
Auditorías energéticas en general.
Gestor continuo de consumos.
Geswatt S.L. dirige su actividad a la empresa y la desarrolla en el campo del asesoramiento y consultoría energética ofreciendo servicios de diagnóstico energético y optimización de contratos, así cómo gestión de subvenciones y certificaciones. También centra su actividad en las energías renovables, Biomasa, Solar, térmica y fotovoltaica , Mini eólica, cogeneración, etc.
“Buscamos la eficiencia energética cómo ejercicio de responsabilidad empresarial”.
"			"608 520 770"			"asesoramiento y consultoría energética "
9	"HIPERPAPELERÍA CARLIN PAMPLONA"	"Envío gratuito en el día a asociados de la zona (excepto artículos que no tengan en stock y haya que pedir). 10% de descuento."	"pamplonacarlin@gmail.com "		"948 15 17 11"			"PAPELERÍA"
10	"IN-AUDIT CONSULTING"	"Empresa dedicada a la optimización de recursos empresariales, cuya actividad se centra en la optimización de gastos generales (gastos fijos)."						"optimización de recursos"
