+DEC	C/ CASTILLO DE MAYA 28, 31004 +DEC
ADAIX	C/ PAULINO CABALLERO 49, 31004 ADAIX
AL ALIMÓN EQUIVALENZA PAMPLONA	C/ GORRITI 22, 31004 AL ALIMÓN EQUIVALENZA PAMPLONA
AMICHI	AVDA. CARLOS III 32, 31003 AMICHI
ANA Y YO	C/ GORRITI 33, 31004 ANA Y YO
AYESTARÁN I	C/ GARCÍA CASTAÑÓN 1, 31002 AYESTARÁN I
AYESTARÁN II	C/ PAULINO CABALLERO 2, 31002 AYESTARÁN II
AYESTARÁN CONFORT	AVDA. BAJA NAVARRA 8, 31003 AYESTARÁN CONFORT
BAR - RESTAURANTE ARGILEKU	C/ OLITE 5, 31002 BAR - RESTAURANTE ARGILEKU
BAR KOISHTA	C/ OLITE 35, 31004 BAR KOISHTA
BARCELÓ VIAJES	C/ OLITE 22, 31004 BARCELÓ VIAJES
BIBA ESPACIO DE MODA I	AVDA. BAYONA 5, 31011 BIBA ESPACIO DE MODA I
BIBA ESPACIO DE MODA II	C/ PAULINO CABALLERO 15, 31002 BIBA ESPACIO DE MODA II
BIJOYA	C/ TUDELA 17, 31003 BIJOYA
C.I.O.	C/ NAVARRO VILLOSLADA 7, 31003 C.I.O.
CACHET	C/ CORTES DE NAVARRA 5, 31002 CACHET
CAFETERÍA - RESTAURANTE VENTA DE URRIZA	C/ PAULINO CABALLERO 12, 31003 CAFETERÍA - RESTAURANTE VENTA DE URRIZA
CAFETERÍA IRATI	C/ TUDELA 10, 31003 CAFETERÍA IRATI
CAFETERÍA MIAMI	AVDA. CARLOS III 13-15 GALERÍA COMERCIAL, 31002 CAFETERÍA MIAMI
CAFETERÍA RUMBOS	AVDA. CARLOS III 38, 31003 CAFETERÍA RUMBOS
CAFETERÍA YANGUAS	C/ YANGUAS Y MIRANDA 21, 31003 CAFETERÍA YANGUAS
CALZADOS TÍVOLI	C/ ESTELLA 4, 31002 CALZADOS TÍVOLI
CAMERA	C/ BERGAMÍN 18, 31003 CAMERA
CAMERA	AVDA. SANCHO EL FUERTE 24, 31007 CAMERA
