+DEC,'42.811346',-1.635592,C/ CASTILLO DE MAYA 28, 31004 PAMPLONA, Spain
ADAIX,'42.8099404',-1.6368929,C/ PAULINO CABALLERO 49, 31004 PAMPLONA, Spain
AMICHI,'42.8114967',-1.6376384,AVDA. CARLOS III 32, 31003 PAMPLONA, Spain
ANA Y YO,'42.8116103',-1.6364839,C/ GORRITI 33, 31004 PAMPLONA, Spain
BAR - RESTAURANTE ARGILEKU,'42.8139005',-1.6370586,C/ OLITE 5, 31002 PAMPLONA, Spain
BAR KOISHTA,'42.810876',-1.6336711,C/ OLITE 35, 31004 PAMPLONA, Spain
BIBA ESPACIO DE MODA,'42.8146781',-1.6568886,AVDA. BAYONA 5, 31011 PAMPLONA, Spain
BIBA ESPACIO DE MODA,'42.8135323',-1.6409197,C/ PAULINO CABALLERO 15, 31002 PAMPLONA, Spain
BIJOYA,'42.8119246',-1.643771,C/ TUDELA 17, 31003 PAMPLONA, Spain
C.I.O.,'42.8122792',-1.640374,C/ NAVARRO VILLOSLADA 7, 31003 PAMPLONA, Spain
CACHET,'42.8149778',-1.642204,C/ CORTES DE NAVARRA 5, 31002 PAMPLONA, Spain
CAMERA,'42.8099411',-1.6385262,C/ BERGAMÍN 18, 31003 PAMPLONA, Spain
CAMERA,'42.810262',-1.6561092,AVDA. SANCHO EL FUERTE 24, 31007 PAMPLONA, Spain
CAMERA,'42.8068201',-1.6725225,C/ BENJAMÍN DE TUDELA 8, 31008 PAMPLONA, Spain
CAMERA,'42.8142568',-1.6432837,C/ ARRIETA 11-BIS, 31002 PAMPLONA, Spain
CASA CAMBRA,'42.8122022',-1.6371414,C/ TAFALLA 13, 31004 PAMPLONA, Spain
CASA MANTEROLA,'42.8091089',-1.6372511,C/ GONZÁLEZ TABLAS 5, 31004 PAMPLONA, Spain
CASA MANTEROLA,'42.8132403',-1.6444201,C/ TUDELA 5, 31002 PAMPLONA, Spain
CASH CONVERTERS,'42.8111562',-1.6384963,C/ PAULINO CABALLERO 26-28, 31003 PAMPLONA, Spain
CENTRO DE MASAJES HERA,'42.8108707',-1.635444,C/ AMAYA 36, 31004 PAMPLONA, Spain
