+DEC,"C/ CASTILLO DE MAYA 28, 31004 PAMPLONA"
ADAIX,"C/ PAULINO CABALLERO 49, 31004 PAMPLONA"
AL ALIMÓN EQUIVALENZA PAMPLONA,"C/ GORRITI 22, 31004 PAMPLONA"
AMICHI,"AVDA. CARLOS III 32, 31003 PAMPLONA"
ANA Y YO,"C/ GORRITI 33, 31004 PAMPLONA"
AYESTARÁN,"C/ GARCÍA CASTAÑÓN 1, 31002 PAMPLONA"
AYESTARÁN,"C/ PAULINO CABALLERO 2, 31002 PAMPLONA"
AYESTARÁN CONFORT,"AVDA. BAJA NAVARRA 8, 31003 PAMPLONA"
BAR - RESTAURANTE ARGILEKU,"C/ OLITE 5, 31002 PAMPLONA"
BAR KOISHTA,"C/ OLITE 35, 31004 PAMPLONA"
BARCELÓ VIAJES,"C/ OLITE 22, 31004 PAMPLONA"
BIBA ESPACIO DE MODA,"AVDA. BAYONA 5, 31011 PAMPLONA"
BIBA ESPACIO DE MODA,"C/ PAULINO CABALLERO 15, 31002 PAMPLONA"
BIJOYA,"C/ TUDELA 17, 31003 PAMPLONA"
C.I.O.,"C/ NAVARRO VILLOSLADA 7, 31003 PAMPLONA"
CACHET,"C/ CORTES DE NAVARRA 5, 31002 PAMPLONA"
CAFETERÍA - RESTAURANTE VENTA DE URRIZA,"C/ PAULINO CABALLERO 12, 31003 PAMPLONA"
CAFETERÍA IRATI,"C/ TUDELA 10, 31003 PAMPLONA"
CAFETERÍA MIAMI,"AVDA. CARLOS III 13-15 GALERÍA COMERCIAL, 31002 PAMPLONA"
CAFETERÍA RUMBOS,"AVDA. CARLOS III 38, 31003 PAMPLONA"
CAFETERÍA YANGUAS,"C/ YANGUAS Y MIRANDA 21, 31003 PAMPLONA"
CALZADOS TÍVOLI,"C/ ESTELLA 4, 31002 PAMPLONA"
CAMERA,"C/ BERGAMÍN 18, 31003 PAMPLONA"
CAMERA,"AVDA. SANCHO EL FUERTE 24, 31007 PAMPLONA"
CAMERA,"C/ BENJAMÍN DE TUDELA 8, 31008 PAMPLONA"
CAMERA,"C/ ARRIETA 11-BIS, 31002 PAMPLONA"
CASA CAMBRA,"C/ TAFALLA 13, 31004 PAMPLONA"
CASA MANTEROLA,"C/ GONZÁLEZ TABLAS 5, 31004 PAMPLONA"
CASA MANTEROLA,"C/ TUDELA 5, 31002 PAMPLONA"
CASH CONVERTERS,"C/ PAULINO CABALLERO 26-28, 31003 PAMPLONA"
CENTRO DE MASAJES HERA,"C/ AMAYA 36, 31004 PAMPLONA"
CENTRO NAVARRO DE LA AUDICIÓN,"C/ PAULINO CABALLERO 14, 31003 PAMPLONA"
CHAMPAGNE Y FRESAS,"C/ PAULINO CABALLERO 32, 31003 PAMPLONA"
CHARGUI,"C/ PAULINO CABALLERO 24, 31003 PAMPLONA"
CIENHILOS,"C/ NAVARRO VILLOSLADA 2, 31003 PAMPLONA"
CLARKS,"AVDA. CARLOS III 16, 31002 PAMPLONA"
CLÍNICA DENTAL LA VAGUADA,"C/ BERGAMÍN 41, 31004 PAMPLONA"
COCHECITOS PÉREZ,"C/ AMAYA 33, 31004 PAMPLONA"
COCHECITOS PÉREZ," POL. IND. NOAIN ESQUIROZ, C/O 6, 31110 NOAIN"
COCHECITOS PÉREZ,"C/ GARCÍA CASTAÑÓN 12, 31002 PAMPLONA"
COLCHONERÍA GORRICHO,"C/ BENJAMÍN DE TUDELA 8, 31008 PAMPLONA"
COLCHONERÍA GORRICHO,"C/ TAFALLA 26-BIS, 31003 PAMPLONA"
COLCHONERÍA SANCHO EL FUERTE,"PZA. PRÍNCIPE DE VIANA 3, 31003 PAMPLONA"
COMERCIAL ONENA,"C/ AOIZ 37, 31004 PAMPLONA"
CONFITURAS GOYA,"C/ TAFALLA 28 (ESQUINA BERGAMÍN), 31003 PAMPLONA"
CRISTAL,"C/ CASTILLO DE MAYA 37, 31004 PAMPLONA"
CUADRADO,"C/ CORTES DE NAVARRA 3, 31002 PAMPLONA"
CUCADAS,"AVDA. CARLOS III 30, 31003 PAMPLONA"
DANA MODELS AGENCY,"C/ OLITE 12, 31004 PAMPLONA"
DANIELI JOYEROS,"C/ BERGAMÍN 7, 31003 PAMPLONA"
DE BEAUMONT,"C/ SANGÜESA 10, 31003 PAMPLONA"
DEBOCA,"C/ MONJARDÍN 9-11, 31006 PAMPLONA"
DECORACIÓN MARIA PURROY,"C/ PAULINO CABALLERO 35, 31003 PAMPLONA"
DEJAVU MODELS,"C/ AOIZ 18, 31004 PAMPLONA"
DESCANSO Y MASH,"AVDA. CARLOS III 63 BAJO B, 31003 PAMPLONA"
DEVORÉ,"C/ ARRIETA 27, 31002 PAMPLONA"
DOBLE A DE SCRAP,"C/ ITURRALDE Y SUIT 15, 31004 PAMPLONA"
DONDE SIEMPRE,"C/ TEOBALDOS 1-3, 31002 PAMPLONA"
DRESS,"C/ GARCÍA XIMÉNEZ 4, 31002 PAMPLONA"
